description,hit_into_play,,,,,,,
,,,,,,,,
加總 - launch_speed_angle,欄標籤,,,,,,,
列標籤,1,2,3,4,5,6,(空白),總計
1,0.00%,2.60%,50.65%,25.97%,12.99%,7.79%,0.00%,100.00%
2,0.00%,9.20%,27.59%,25.29%,17.24%,20.69%,0.00%,100.00%
3,3.64%,7.27%,16.36%,21.82%,18.18%,32.73%,0.00%,100.00%
4,0.85%,25.42%,33.05%,16.95%,8.47%,15.25%,0.00%,100.00%
5,0.00%,15.27%,17.45%,30.55%,12.73%,24.00%,0.00%,100.00%
6,1.10%,18.68%,19.78%,26.37%,10.99%,23.08%,0.00%,100.00%
7,0.00%,21.57%,29.41%,27.45%,9.80%,11.76%,0.00%,100.00%
8,0.62%,17.39%,16.77%,17.39%,21.74%,26.09%,0.00%,100.00%
9,3.13%,31.25%,11.72%,37.50%,11.72%,4.69%,0.00%,100.00%
11,0.00%,14.16%,34.51%,31.86%,8.85%,10.62%,0.00%,100.00%
12,0.00%,0.00%,27.27%,45.45%,0.00%,27.27%,0.00%,100.00%
13,6.82%,31.82%,6.82%,54.55%,0.00%,0.00%,0.00%,100.00%
14,2.02%,48.48%,15.15%,28.28%,0.00%,6.06%,0.00%,100.00%
總計,0.95%,18.83%,22.90%,27.99%,11.77%,17.56%,0.00%,100.00%
